Maturity,Original_Rate,NSS_Fitted_Rate,Spread_bps
0.0,5.24,5.2394,-0.06
0.5,5.35,5.3539,0.39
1.0,5.46,5.4636,0.36
1.5,5.57,5.5687,-0.13
2.0,5.67,5.6694,-0.06
2.5,5.77,5.7658,-0.42
3.0,5.86,5.8582,-0.18
3.5,5.95,5.9467,-0.33
4.0,6.03,6.0314,0.14
4.5,6.11,6.1124,0.24
5.0,6.19,6.19,0.0
5.5,6.26,6.2643,0.43
6.0,6.34,6.3353,-0.47
6.5,6.4,6.4032,0.32
7.0,6.47,6.4682,-0.18
7.5,6.53,6.5303,0.03
8.0,6.59,6.5896,-0.04
8.5,6.65,6.6464,-0.36
9.0,6.7,6.7006,0.06
9.5,6.75,6.7523,0.23
10.0,6.8,6.8018,0.18
10.5,6.85,6.8489,-0.11
11.0,6.89,6.894,0.4
11.5,6.94,6.937,-0.3
12.0,6.98,6.978,-0.2
12.5,7.02,7.0171,-0.29
13.0,7.05,7.0544,0.44
13.5,7.09,7.0899,-0.01
14.0,7.12,7.1238,0.38
14.5,7.16,7.156,-0.4
15.0,7.19,7.1867,-0.33
15.5,7.22,7.216,-0.4
16.0,7.24,7.2438,0.38
16.5,7.27,7.2702,0.02
17.0,7.3,7.2954,-0.46
17.5,7.32,7.3193,-0.07
18.0,7.34,7.342,0.2
18.5,7.36,7.3636,0.36
19.0,7.38,7.3841,0.41
19.5,7.4,7.4035,0.35
20.0,7.42,7.422,0.2
20.5,7.44,7.4395,-0.05
21.0,7.46,7.456,-0.4
21.5,7.47,7.4717,0.17
22.0,7.49,7.4866,-0.34
22.5,7.5,7.5006,0.06
23.0,7.5,7.5139,1.39
23.5,7.53,7.5264,-0.36
24.0,7.54,7.5383,-0.17
24.5,7.55,7.5495,-0.05
25.0,7.56,7.56,0.0
25.5,7.57,7.57,-0.0
26.0,7.58,7.5793,-0.07
26.5,7.59,7.5881,-0.19
27.0,7.6,7.5964,-0.36
27.5,7.6,7.6042,0.42
28.0,7.61,7.6115,0.15
28.5,7.62,7.6183,-0.17
29.0,7.62,7.6247,0.47
29.5,7.63,7.6307,0.07
30.0,7.64,7.6363,-0.37
30.5,7.64,7.6415,0.15
31.0,7.65,7.6464,-0.36
31.5,7.65,7.6509,0.09
32.0,7.66,7.6551,-0.49
32.5,7.66,7.659,-0.1
33.0,7.66,7.6626,0.26
33.5,7.67,7.6659,-0.41
34.0,7.67,7.669,-0.1
34.5,7.67,7.6718,0.18
35.0,7.67,7.6744,0.44
35.5,7.68,7.6768,-0.32
36.0,7.68,7.679,-0.1
36.5,7.68,7.6809,0.09
37.0,7.68,7.6827,0.27
37.5,7.68,7.6843,0.43
38.0,7.69,7.6857,-0.43
38.5,7.69,7.687,-0.3
39.0,7.69,7.6882,-0.18
39.5,7.69,7.6891,-0.09
40.0,7.69,7.69,0.0
40.5,7.69,7.6908,0.08
41.0,7.69,7.6914,0.14
41.5,7.69,7.6919,0.19
42.0,7.69,7.6923,0.23
42.5,7.69,7.6926,0.26
43.0,7.69,7.6929,0.29
43.5,7.69,7.693,0.3
44.0,7.69,7.6931,0.31
44.5,7.69,7.6931,0.31
45.0,7.69,7.6931,0.31
45.5,7.69,7.693,0.3
46.0,7.69,7.6928,0.28
46.5,7.69,7.6926,0.26
47.0,7.69,7.6923,0.23
47.5,7.69,7.692,0.2
48.0,7.69,7.6917,0.17
48.5,7.69,7.6913,0.13
49.0,7.69,7.6909,0.09
49.5,7.69,7.6905,0.05
50.0,7.69,7.69,0.0
