Year,Quarter,USDINR_Avg,RBI_Repo_Rate,US_Fed_Rate
2016,Q1,67.50,6.75,0.38
2016,Q2,67.00,6.50,0.38
2016,Q3,66.80,6.50,0.40
2016,Q4,67.44,6.25,0.50
2017,Q1,66.80,6.25,0.75
2017,Q2,64.50,6.25,1.00
2017,Q3,64.20,6.00,1.16
2017,Q4,64.96,6.00,1.25
2018,Q1,64.70,6.00,1.50
2018,Q2,67.30,6.00,1.75
2018,Q3,69.80,6.50,2.00
2018,Q4,71.76,6.50,2.40
2019,Q1,70.40,6.25,2.40
2019,Q2,69.50,5.75,2.40
2019,Q3,70.90,5.40,2.00
2019,Q4,71.30,5.15,1.55
2020,Q1,72.40,5.15,1.55
2020,Q2,75.60,4.00,0.10
2020,Q3,74.50,4.00,0.10
2020,Q4,73.90,4.00,0.10
2021,Q1,73.10,4.00,0.10
2021,Q2,73.60,4.00,0.10
2021,Q3,74.20,4.00,0.10
2021,Q4,74.86,4.00,0.10
2022,Q1,75.40,4.00,0.20
2022,Q2,77.20,4.40,1.00
2022,Q3,79.80,5.40,2.50
2022,Q4,82.10,6.25,4.33
2023,Q1,82.40,6.50,4.58
2023,Q2,82.10,6.50,5.08
2023,Q3,82.80,6.50,5.33
2023,Q4,83.20,6.50,5.33
2024,Q1,83.00,6.50,5.33
2024,Q2,83.40,6.50,5.33
2024,Q3,83.80,6.50,5.00
2024,Q4,84.50,6.50,4.50
2025,Q1,86.30,6.25,4.38
2025,Q2,85.50,6.00,4.25
2025,Q3,86.40,5.50,4.13
2025,Q4,87.80,5.25,4.00
2026,Q1,93.09,5.25,3.75
